username,anime_id,rating
Lachawla,1,-1
Dubba,1,9
epicene,1,10
Effloress,1,-1
JeSuisGarrick,1,-1
grimlocks_rage,1,10
J4KQB,1,10
somrea,1,-1
ScIsSoRs456,1,8
GinaSwift_113,1,-1
Clemendoll,1,-1
Veans,1,7
Loookas,1,9
Cutie_Shrew,1,10
Hadarai,1,-1
Dhawal2002,1,-1
NotOrion,1,-1
Spicy345,1,-1
honey_buns,1,-1
dolphinmelon,1,-1
GnarlyJosh,1,10
Mr_Stralee,1,-1
islamwalid,1,-1
boosya,1,-1
kisumji,1,-1
Ms_Muffin,1,-1
Halka9,1,10
ramzan308,1,-1
katsukyyy,1,8
Corzaller,1,8
KouNekoCafe,1,9
Glordit,1,9
V4N1R,1,9
arjandotorg,1,-1
gonpoporo,1,-1
ggadam15,1,-1
Gigomecha,1,-1
Bun00,1,-1
soumyabb2356,1,9
4ckermanDluffy,1,10
JentyDeleu,1,-1
Dromka,1,-1
OlympiqueB,1,9
Nunez094,1,-1
jiji616,1,10
Darius119,1,-1
stinkbutt,1,6
Naolia,1,-1
AtJono,1,-1
Yveltal1612,1,-1
NessieTea,1,-1
sagarpm18,1,-1
llSHAW,1,-1
jaddddd,1,7
V3rmouth,1,-1
Lilybees,1,-1
Xoishy,1,-1
DJtheDJcroc,1,8
DegenerateChan,1,10
KonKatalathis,1,10
CalgonIsFat,1,-1
TomBuglear,1,7
LancetCrab,1,-1
pororororin,1,7
janameloxx,1,-1
kazi1234,1,8
Mak11,1,-1
angel_kitten69,1,-1
carryzzz,1,-1
mishinaru,1,9
matthewgunnnn,1,-1
mousycakes,1,9
Dtaoer1994,1,9
kabisandi,1,-1
shredley,1,-1
shredley,1,-1
JMilz,1,-1
fresh_inny,1,6
KojikiYutsu,1,-1
MuratHilmi,1,-1
RMX_90,1,-1
zsoofi,1,-1
NateG625,1,-1
maliz,1,10
hugodewantoro,1,9
luvkad,1,7
Anet_OwO,1,10
SeikoSempai,1,-1
garrettyler3674,1,4
skoooch,1,-1
-Kidding-,1,-1
Shuyin-Sama,1,10
hadogan,1,-1
Shoopuf1,1,10
Easy801,1,-1
NickIsThicc,1,-1
Yo_Joselo,1,10
Dutchea,1,8
FireProofWood,1,-1
boci_pop,1,-1
Coso2908,1,8
Tilidin,1,8
Sensei0507,1,-1
Zyphqr,1,-1
CristeaIonut,1,-1
Ojas2756,1,-1
gweeks40,1,8
vladimirdavydov,1,10
_rafaguerra_,1,-1
Leavy12,1,-1
GonzaloSosa1,1,-1
Magejutsu,1,10
Euphemiya,1,-1
mobus,1,-1
AlatusEurus,1,-1
mohamad2005slimi,1,-1
curtisanimelist,1,-1
Headlesscupid82,1,8
tohthlist,1,-1
Azmidium,1,-1
isyasad,1,4
Sicarius_01,1,8
_Maki-chan_,1,-1
HondaCivik,1,10
FireLord12,1,-1
Cloud_Worker,1,-1
Rokam18,1,8
fruiteaj,1,8
rockyrodent,1,-1
WeebWaifuWonder,1,-1
papasquat69,1,-1
iamtherobin,1,9
Jbob52,1,-1
JoJotteba11,1,6
opNoob,1,-1
PennyIngerton,1,9
5mp6,1,8
bentograce,1,-1
Krawger,1,-1
JoyDJoestar,1,9
FionaApple101,1,-1
thealpsare2full,1,10
zulfuaruse,1,-1
EVENTHOR,1,7
thgomes,1,8
timeleft,1,-1
Loganisnotafurry,1,-1
kasanie_laski,1,10
EllieeElven,1,8
breadhead_,1,-1
breadhead_,1,-1
grippiestsocks,1,8
DragonianVex,1,-1
joafsemaj,1,-1
ryryonrye,1,-1
letankero,1,-1
Luozz,1,10
Gimasxlontar147,1,9
shivangi_debnath,1,-1
Kishi369,1,10
NgtvTnkr,1,10
jhordansnow,1,-1
JFEN07,1,-1
mothsuit,1,-1
aostheory,1,9
Fishman22555,1,-1
Gangsterpatato,1,-1
JackHazard,1,-1
joeylikeanimetit,1,6
Sakis_06,1,9
7417133566,1,-1
Salgull,1,10
FuegoIndigo2,1,-1
Renataag,1,-1
Bloomzzzz,1,-1
Philoetius,1,9
Nicknog,1,9
Joemamba0824,1,10
MadMelts,1,-1
deadbeat_eyes,1,-1
ylcva,1,-1
angrybeluga,1,9
alyssaolay,1,9
Trevyoo,1,8
JSRoane,1,-1
LoserPrimal,1,9
Zelsk,1,-1
Dez0420,1,-1
Borsalino_Bonez,1,-1
sirpaulie,1,8
annamk,1,-1
TheQwad,1,8
Kevans65,1,10
Jackyboy444,1,-1
JDP100,1,-1
skilledman24,1,-1
Cnobe,1,-1
Killshotee,1,-1
Fennex12,1,-1
bamine,1,7
JacKhatana,1,-1
Birdnho,1,8
acueleus,1,-1
Risinu,1,-1
sethtaranow,1,9
FenriSenpai,1,-1
Maleeve-,1,8
HanWen05,1,10
Frogster98,1,-1
rezawuna,1,10
MPolanco24,1,-1
AquaMocha,1,-1
jj0rd1,1,-1
chavlin,1,5
storyinsoil,1,9
goldenraven,1,-1
Aqib_23,1,8
qx3vc,1,9
Kai_Jinga,1,-1
Gonstavo,1,-1
iNatie,1,-1
SteamPinky,1,-1
0deacon,1,7
hannahprochnow,1,10
-Tavares-,1,-1
mtzaman,1,-1
andjimenez99,1,8
Vilir,1,-1
lFrogs,1,7
adryanubb,1,7
1028_swissy,1,7
nintendolameboy,1,-1
realuchiha,1,7
TheEvilSaint,1,-1
soap_s4ma,1,-1
Eduar2rar,1,8
Fiending4More,1,-1
bunibunibuni,1,-1
Piebar,1,-1
Karol11,1,9
RudraTheGreat237,1,-1
Dakemakura_Boya,1,8
melanchoolie301,1,-1
ShadowReacts,1,9
CrowList,1,-1
FelypeOliveira,1,10
1kaworu,1,-1
Rishirich7383,1,8
Triplenut,1,-1
Minetes,1,-1
Wellthatnotnice,1,-1
parker00,1,-1
Santys,1,-1
Reinhard24,1,-1
NPC4,1,10
Xeians,1,-1
B_9,1,-1
ZouTembo,1,8
UhNewUserNameIdk,1,-1
Rysilla,1,-1
kanime4,1,9
Gabrielc0726,1,-1
mullet_lite,1,10
Nicobbnitz,1,10
saevant,1,6
2MigUeL1,1,8
thecollector2012,1,-1
thegondolaman,1,8
IceWelder,1,-1
Cu_Chullainn,1,-1
cerieka,1,-1
gloomiers,1,-1
Thrack,1,9
EC2Build,1,-1
A3sTaS,1,10
Sasaki993,1,9
RulyKinkajou59,1,6
roskomat,1,-1
DankDunc,1,-1
HERM132,1,-1
RelarHaruo,1,7
xWolfman02,1,9
PathOwOgenVirus,1,-1
moon2245,1,-1
RaphaelDoiron,1,-1
As-Nordik,1,-1
taramishell,1,-1
Kelsey3339,1,-1
Ohanabatake,1,8
AlfredoXe,1,-1
Yuta_Ueno,1,-1
eSebas014,1,-1
qwyet,1,9
OrionLucio,1,-1
mfnf1978,1,-1
MindlessWalker,1,9
KentuckyDragon,1,-1
aaaa27,1,9
nonamemo,1,-1
tadrianafd,1,9
BrunoAntoni,1,-1
PolloAI,1,-1
AkingApe,1,8
Leaf-it-to-me,1,-1
Tireheb,1,-1
SamAntunes,1,-1
Raphael_Ayon,1,-1
luis_31s,1,10
3v3rything,1,-1
Gu1lh3rm3ant0n10,1,10
Infernape_1,1,-1
by_Sisley,1,-1
Shirryl,1,-1
m4tt_,1,-1
Ihmp,1,-1
sdicus77,1,-1
sofria,1,-1
Xox_chaz_xoX,1,7
Chrystianck,1,-1
Darkchocolate13,1,10
ryuutsunashi,1,-1
Bren_,1,-1
murigoncalves,1,-1
Moxus-_-,1,-1
Raybott,1,-1
Shyra_,1,-1
Zefer3,1,10
kaes_,1,-1
SFGhoul,1,-1
ArkyEvxs,1,-1
Vactor12345,1,10
BaciGumleten,1,8
MigalooTwo,1,10
Ivalov,1,10
NetoS,1,7
Obitouchiha71,1,-1
Victor_Saelices,1,-1
Jarat4,1,8
HugPirate,1,-1
Tony_pimps,1,7
adendul,1,-1
yasmin_21,1,-1
SburoNegliOcchi,1,-1
KingKermi,1,7
DIN_MAMMA_BRE,1,10
foghat,1,10
noisaucy,1,-1
DaBurrito24,1,10
hbna,1,-1
hadesd,1,-1
roymandev,1,-1
Aiko108,1,-1
GojoRengoku,1,-1
Dustyboi98,1,10
DandierAsh,1,10
neo2609,1,-1
hotdabs69,1,-1
Ooryar,1,-1
Decadente,1,-1
AkumaLaAsh,1,-1
Meiesphas,1,-1
theonelikescake,1,-1
0901,1,-1
trdyaya,1,-1
bhomer7,1,8
OuT-cAst,1,-1
walkingcaffeine,1,-1
Riadkunai,1,-1
sseysey,1,-1
ToaruVoid,1,-1
Pexcel,1,7
Neoh,1,-1
Zehni17,1,-1
Engets,1,8
Todbnha,1,-1
__Master_M__,10030,-1
ayaya2S33,10030,9
NewSajiro158,10030,9
Jani28052001,10030,-1
pavelgr97,10030,8
Givijo,10030,9
blackfoxqsy,10030,-1
Tyger_Uchiha,10030,-1
Rawrosaur,10030,-1
GFZADA,10030,9
koijkun,10030,9
Riffirg,10030,10
skyofu,10030,8
kryptonkiller1,10030,-1
timetogotobed,10030,8
SpadesPiggy,10030,-1
TheOnlyLamp,10030,-1
AquaHaze,10030,-1
Mintkitty,10030,-1
Lillyhc,10030,7
good_strike,10030,-1
wildabeast91,10030,7
Ishigami5710,10030,6
ullragg,10030,-1
Veneeren,10030,8
Slacheclower,10030,9
FrancisKh4,10030,7
Edescalator,10030,10
xNeegroo,10030,-1
Ndog-kun,10030,8
firassbw,10030,-1
Glordit,10030,8
Ae11999,10030,-1
Michael_Pidgin,10030,8
Raj_2007,10030,-1
AdamDjakalynx,10030,-1
-Meysi-,10030,6
winkwinkwinkz,10030,8
Rusiann28,10030,10
Pr33datorrr,10030,-1
Mist90,10030,-1
maliz,10030,10
d18ferstu,10030,9
YoruFukuro,10030,8
MaddoxMB,10030,7
AdiD12,10030,-1
Nozaki0kun,10030,-1
TaizoSenpai,10030,9
kotwal,10030,-1
DuckDuckie,10030,8
Shawndingo,10030,-1
_Iia7mad_,10030,-1
Awi1908,10030,10
Maleeve-,10030,8
JDP100,10030,-1
jeskatcha97,10030,-1
Kai_Jinga,10030,-1
EntStrawhat,10030,-1
Villynn,10030,9
qwabbllo,10030,9
NPC4,10030,-1
EveryFailedJr,10030,-1
monekhe,10030,9
roymandev,10030,-1
Yuta_Ueno,10030,-1
Ohanabatake,10030,8
torchofliberty,10030,7
Whoash,10030,9
HadrianTheRoman,10030,8
Not_Klost,10030,8
Alcidesenpai,10030,9
ggchu_,10030,-1
ArkyEvxs,10030,-1
Flamewater26,10030,-1
Frostx20,10030,-1
Florin_Rosu,10030,8
KyonZeckK,10030,8
Lejonis,10030,-1
GillisHaest,10030,-1
ChuleS,10030,-1
Hachiman_Senpai,10030,-1
Liluuu,10030,-1
sagayh,10030,8
ccsakuraa,10030,7
Kiwiman7,10030,-1
skint_layzor,10030,-1
Devilweeb7878,10030,8
_yohohoyohoho_,10030,-1
bzhslear,10030,7
Adamm_Souza,10030,8
Florin_t14,10030,9
IANKNOWSNOANIME,10030,-1
Jakorubi,10030,10
JkYan,10030,-1
jinnharumi,10030,-1
Njyar,10030,-1
AMMV21,10030,8
viiina,10030,-1
BakpauEmpuk,10030,-1
b_thena,10030,-1
Thmanin,10030,-1
cacier2,10030,10
HzTcK,10030,-1
GynD,10030,5
NaukiChan,10030,-1
SanniFee,10030,-1
Blakkify,10030,8
schaughourn,10030,7
dimon-z,10030,-1
Vin_Du,10030,-1
Ruimar,10030,-1
Coxinha7otaku,10030,-1
Jungeee,10030,-1
Hayden_Ashton,10030,-1
yanagitheowl,10030,-1
Rezzly98_,10030,10
DarkDays91,10030,-1
electr0nik,10030,8
AyameYamata,10030,8
koban,10030,8
kro7bara,10030,9
selkon69,10030,-1
taluongngocmai,10030,-1
Burren,10030,-1
NaveXPP,10030,-1
muxii,10030,9
Deovizta,10030,-1
MerlinSOG,10030,9
Dark_polony,10030,10
Nessa1234,10030,-1
FionaEnjoyer,10030,-1
xOkko,10030,-1
Vickylili,10030,-1
Heretyk_Shu,10030,8
ProtagonistDK,10030,7
iangodbx,10030,-1
9noor9n,10030,10
Swoxzi,10030,8
ysf1270,10030,-1
titinD,10030,8
Genjltsuu,10030,9
Highcore,10030,-1
joakim2i0,10030,-1
tom_m_,10030,-1
Radu1345,10030,-1
Rohitm24,10030,10
arcuina,10030,7
MxrUnknown,10030,-1
Jean_Dx,10030,-1
Aorhuu,10030,-1
Leonardo549,10030,-1
Raheem0_0,10030,-1
arsenio_neto,10030,7
